"[Repository]","[Page]","[Object]","[Name]","[Type]","[Identifier Type]","[Identifier Value]","[Locators]","[Properties]"
"","ForAgentsOnly.com - Home","lnk Personal Lines","lnk Personal Lines","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Personal Lines']","{""smart eye relative xpath"":""//a[normalize-space(.)='Personal Lines']"",""smart eye relative xpath_1"":""/html[1]/body[1]/div[@class=\""fao-site\""]/main[@class=\""homeWrapper\""]/section[@class=\""h-core h-core--classic\""]/aside[@class=\""h-core__col h-core__col--small\""]/article[@class=\""base-content portfolio-learning-center-tile\""]/a[@class=\""portfolio-learning-center-tile__link\""]"",""xpath by id"":""/html[1]/body[1]/div[@class=\""fao-site\""]/main[@class=\""homeWrapper\""]/section[@class=\""h-core h-core--classic\""]/aside[@class=\""h-core__col h-core__col--small\""]/article[@class=\""base-content portfolio-learning-center-tile\""]/a[@class=\""portfolio-learning-center-tile__link\""]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/article[2]/a[1]"",""cssselector by id & class"":""body div:nth-child(2) main section:nth-child(2) aside:nth-child(1) article:nth-child(3) a:nth-child(2)""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""data-ga"":""link"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/portfolio"",""linktext"":""Personal Lines"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""class"":""portfolio-learning-center-tile__link"",""data-label"":""Learn more about Portfolio - Personal Lines""}"
"","ForAgentsOnly.com - Home","lnk Policies cancelled: 51","lnk Policies cancelled: 51","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Policies cancelled: 51']","{""smart eye relative xpath"":""//a[normalize-space(.)='Policies cancelled: 51']"",""smart eye relative xpath_1"":""//*[@id=\""smartViewAlertsTable\""]/div[@class=\""zone  zone02\""]/div[@class=\""smartViewRow\""]/div[@class=\""smartViewObject equalize\""]/div[@class=\""smartViewLinkNoIcon\""]/a[1]"",""xpath by id"":""//*[@id=\""smartViewAlertsTable\""]/div[@class=\""zone  zone02\""]/div[@class=\""smartViewRow\""]/div[@class=\""smartViewObject equalize\""]/div[@class=\""smartViewLinkNoIcon\""]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/article[1]/div[2]/div[1]/div[1]/div[5]/div[1]/div[1]/a[1]"",""cssselector by id & class"":""#smartViewAlertsTable div:nth-child(1) div:nth-child(6) div:nth-child(1) div a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""data-ga"":""link"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/managepolicies/policyactivity/?source=pc"",""linktext"":""Policies cancelled: 51"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-label"":""Smart View Alerts: Policies cancelled: 51""}"
"","ForAgentsOnly.com - Home","lnk Policies lapsed: 2","lnk Policies lapsed: 2","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Policies lapsed: 2']","{""smart eye relative xpath"":""//a[normalize-space(.)='Policies lapsed: 2']"",""smart eye relative xpath_1"":""//*[@id=\""smartViewAlertsTable\""]/div[@class=\""zone  zone02\""]/div[@class=\""smartViewRow\""]/div[@class=\""smartViewObject equalize\""]/div[@class=\""smartViewLinkNoIcon\""]/a[1]"",""xpath by id"":""//*[@id=\""smartViewAlertsTable\""]/div[@class=\""zone  zone02\""]/div[@class=\""smartViewRow\""]/div[@class=\""smartViewObject equalize\""]/div[@class=\""smartViewLinkNoIcon\""]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/article[1]/div[2]/div[1]/div[1]/div[6]/div[1]/div[1]/a[1]"",""cssselector by id & class"":""#smartViewAlertsTable div:nth-child(1) div:nth-child(7) div:nth-child(1) div a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""data-ga"":""link"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/managepolicies/policyactivity/?source=pl"",""linktext"":""Policies lapsed: 2"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-label"":""Smart View Alerts: Policies lapsed: 2""}"
"","ForAgentsOnly.com - Home","lnk Policies pending cancel: 7","lnk Policies pending cancel: 7","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Policies pending cancel: 7']","{""smart eye relative xpath"":""//a[normalize-space(.)='Policies pending cancel: 7']"",""smart eye relative xpath_1"":""//*[@id=\""smartViewAlertsTable\""]/div[@class=\""zone  zone02\""]/div[@class=\""smartViewRow\""]/div[@class=\""smartViewObject equalize\""]/div[@class=\""smartViewLinkNoIcon\""]/a[1]"",""xpath by id"":""//*[@id=\""smartViewAlertsTable\""]/div[@class=\""zone  zone02\""]/div[@class=\""smartViewRow\""]/div[@class=\""smartViewObject equalize\""]/div[@class=\""smartViewLinkNoIcon\""]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/article[1]/div[2]/div[1]/div[1]/div[4]/div[1]/div[1]/a[1]"",""cssselector by id & class"":""#smartViewAlertsTable div:nth-child(1) div:nth-child(5) div:nth-child(1) div a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""data-ga"":""link"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/Managepolicies/reports/policiesneedservice/policiespendingcancellation/?source=MsgCenter"",""linktext"":""Policies pending cancel: 7"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-label"":""Smart View Alerts: Policies pending cancel: 7""}"
"","ForAgentsOnly.com - Home","lnk Policies require follow up: 797","lnk Policies require follow up: 797","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Policies require follow up: 797']","{""smart eye relative xpath"":""//a[normalize-space(.)='Policies require follow up: 797']"",""smart eye relative xpath_1"":""//*[@id=\""smartViewAlertsTable\""]/div[@class=\""zone  zone02\""]/div[@class=\""smartViewRow\""]/div[@class=\""smartViewObject equalize\""]/div[@class=\""smartViewLinkNoIcon\""]/a[1]"",""xpath by id"":""//*[@id=\""smartViewAlertsTable\""]/div[@class=\""zone  zone02\""]/div[@class=\""smartViewRow\""]/div[@class=\""smartViewObject equalize\""]/div[@class=\""smartViewLinkNoIcon\""]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/article[1]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/a[1]"",""cssselector by id & class"":""#smartViewAlertsTable div:nth-child(1) div:nth-child(3) div:nth-child(1) div a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""data-ga"":""link"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/managepolicies/reports/policiesneedservice/customerfollowup/?Source=MsgCenter"",""linktext"":""Policies require follow up: 797"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-label"":""Smart View Alerts: Policies require follow up: 797""}"
"","ForAgentsOnly.com - Home","lnk Program Overview","lnk Program Overview","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Program Overview']","{""smart eye relative xpath"":""//a[normalize-space(.)='Program Overview']"",""smart eye relative xpath_1"":""//*[@id=\""quickLinks\""]/div[@class=\""ql-nav-block\""]/a[@class=\""paper-dog-ear\""]"",""xpath by id"":""//*[@id=\""quickLinks\""]/div[@class=\""ql-nav-block\""]/a[@class=\""paper-dog-ear\""]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[2]/div[2]/div[1]/div[1]/div[1]/a[1]"",""cssselector by id & class"":""#quickLinks div:nth-child(1) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""data-ga"":""anchorButton"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/platinum/program/overview/"",""linktext"":""Program Overview"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""class"":""paper-dog-ear"",""data-label"":""Platinum Links - Overview""}"
"","ForAgentsOnly.com - Home","lnk Renters (HO4)","lnk Renters (HO4)","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Renters (HO4)']","{""smart eye relative xpath"":""//a[normalize-space(.)='Renters (HO4)']"",""smart eye relative xpath_1"":""//*[@id=\""property\""]/ul[@class=\""list pp-add-products\""]/li[3]/a[1]"",""xpath by id"":""//*[@id=\""property\""]/ul[@class=\""list pp-add-products\""]/li[3]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[3]/div[1]/div[1]/section[1]/div[2]/ul[1]/li[3]/a[1]"",""cssselector by id & class"":""#property ul li:nth-child(3) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/home/?Welcome=641#"",""linktext"":""Renters (HO4)"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-pp-id"":""RT""}"
"","ForAgentsOnly.com - Home","lnk SD, NC, DC, OK, ID, OR, NH, and AK","lnk SD, NC, DC, OK, ID, OR, NH, and AK","Link","Smart Eye Relative XPath","//a[normalize-space(.)='SD, NC, DC, OK, ID, OR, NH, and AK agents A new quoting system is coming thatÃ¢â‚¬â„¢s easy as toast. You can quote us on that. FAO Portfolio Quoting is coming to SD, NC, DC, OK, ID, OR, NH, and AK agents Pop over to the Learning Center.']","{""smart eye relative xpath"":""//a[normalize-space(.)='SD, NC, DC, OK, ID, OR, NH, and AK agents A new quoting system is coming that\u2019s easy as toast. You can quote us on that. FAO Portfolio Quoting is coming to SD, NC, DC, OK, ID, OR, NH, and AK agents Pop over to the Learning Center.']"",""smart eye relative xpath_1"":""//*[@id=\""portfolio-announcement-alpha-tease\""]/a[1]"",""xpath by id"":""//*[@id=\""portfolio-announcement-alpha-tease\""]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/div[1]/a[1]"",""cssselector by id & class"":""#portfolio-announcement-alpha-tease a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""data-ga"":""clickNoRedirect"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/portfolio"",""linktext"":""SD, NC, DC, OK, ID, OR, NH, and AK agents\t\t\t\t\tA new quoting system is coming that\u2019s easy as toast.\t\t\t\t\t\t\t\t\t\t\t\t\tYou can quote us on that.\t\t\t\t\t\t\t\t\t\t\t\t\tFAO Portfolio Quoting is coming to SD, NC, DC, OK, ID, OR, NH, and AK agents\t\t\t\t\tPop over to the Learning Center."",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-label"":""portfolio-teaser-tray-banner-r11-A"",""target"":""_blank""}"
,"ForAgentsOnly.com - Home","lnk Snapshot trials completed: 32","lnk Snapshot trials completed: 32","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Snapshot trials completed: 32']","{""smart eye relative xpath"":""//a[normalize-space(.)='Snapshot trials completed: 32']"",""smart eye relative xpath_1"":""//*[@id=\""smartViewAlertsTable\""]/div[@class=\""zone  zone02\""]/div[@class=\""smartViewRow\""]/div[@class=\""smartViewObject equalize\""]/div[@class=\""smartViewLinkNoIcon\""]/a[1]"",""xpath by id"":""//*[@id=\""smartViewAlertsTable\""]/div[@class=\""zone  zone02\""]/div[@class=\""smartViewRow\""]/div[@class=\""smartViewObject equalize\""]/div[@class=\""smartViewLinkNoIcon\""]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/article[1]/div[2]/div[1]/div[1]/div[3]/div[1]/div[1]/a[1]"",""cssselector by id & class"":""#smartViewAlertsTable div:nth-child(1) div:nth-child(4) div:nth-child(1) div a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""data-ga"":""link"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/managepolicies/reports/SnapshotTrial/SnapshotTrialHome.aspx"",""linktext"":""Snapshot trials completed: 32"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-label"":""Smart View Alerts: Snapshot trials completed: 32""}"
,"ForAgentsOnly.com - Home","lnk Snowmobile","lnk Snowmobile","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Snowmobile']","{""smart eye relative xpath"":""//a[normalize-space(.)='Snowmobile']"",""smart eye relative xpath_1"":""//*[@id=\""autoToys\""]/ul[@class=\""list pp-add-products\""]/li[6]/a[1]"",""xpath by id"":""//*[@id=\""autoToys\""]/ul[@class=\""list pp-add-products\""]/li[6]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[3]/div[1]/div[1]/section[1]/div[1]/ul[1]/li[6]/a[1]"",""cssselector by id & class"":""#autoToys ul li:nth-child(6) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/home/?Welcome=641#"",""linktext"":""Snowmobile"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-pp-id"":""SM""}"
