"[Repository]","[Page]","[Object]","[Name]","[Type]","[Identifier Type]","[Identifier Value]","[Locators]","[Properties]"
,"ForAgentsOnly.com - Home","lnk Success Stories","lnk Success Stories","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Success Stories']","{""smart eye relative xpath"":""//a[normalize-space(.)='Success Stories']"",""smart eye relative xpath_1"":""//*[@id=\""quickLinks\""]/div[@class=\""ql-nav-block\""]/a[@class=\""handshake\""]"",""xpath by id"":""//*[@id=\""quickLinks\""]/div[@class=\""ql-nav-block\""]/a[@class=\""handshake\""]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[2]/div[2]/div[1]/div[1]/div[2]/a[1]"",""cssselector by id & class"":""#quickLinks div:nth-child(2) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""data-ga"":""link"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/platinum/successstories/"",""linktext"":""Success Stories"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""class"":""handshake"",""data-label"":""Platinum Links - SuccessStories""}"
,"ForAgentsOnly.com - Home","lnk Travel Trailer","lnk Travel Trailer","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Travel Trailer']","{""smart eye relative xpath"":""//a[normalize-space(.)='Travel Trailer']"",""smart eye relative xpath_1"":""//*[@id=\""autoToys\""]/ul[@class=\""list pp-add-products\""]/li[5]/a[1]"",""xpath by id"":""//*[@id=\""autoToys\""]/ul[@class=\""list pp-add-products\""]/li[5]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[3]/div[1]/div[1]/section[1]/div[1]/ul[1]/li[5]/a[1]"",""cssselector by id & class"":""#autoToys ul li:nth-child(5) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/home/?Welcome=641#"",""linktext"":""Travel Trailer"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-pp-id"":""TT""}"
,"ForAgentsOnly.com - Home","lnk Umbrella","lnk Umbrella","Link","Smart Eye Relative XPath","//a[normalize-space(.)='Umbrella']","{""smart eye relative xpath"":""//a[normalize-space(.)='Umbrella']"",""smart eye relative xpath_1"":""//*[@id=\""additionalProtection\""]/ul[@class=\""list pp-add-products\""]/li[1]/a[1]"",""xpath by id"":""//*[@id=\""additionalProtection\""]/ul[@class=\""list pp-add-products\""]/li[1]/a[1]"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[3]/div[1]/div[1]/section[1]/div[3]/div[1]/ul[1]/li[1]/a[1]"",""cssselector by id & class"":""#additionalProtection ul li:nth-child(1) a""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""* isenabled"":""true"",""href"":""https://75.qa.foragentsonly.com/home/?Welcome=641#"",""linktext"":""Umbrella"",""tag"":""a"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""data-pp-id"":""UB""}"
,"ForAgentsOnly.com - Home","sel Alabama","sel Alabama","Select","id","QuoteStateList","{""smart eye relative xpath"":""//*[@id=\""QuoteStateList\""]"",""xpath by id"":""//*[@id=\""QuoteStateList\""]"",""id"":""QuoteStateList"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[1]/select[1]"",""cssselector by id & class"":""#QuoteStateList""}","{""* alloptions"":"";Alabama;Alaska;Arizona;Arkansas;California;Colorado;Connecticut;Delaware;District of Columbia;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming;"",""* isdisplayed"":""false"",""* isselected"":""false"",""onchange"":""BuildProductSelector(this.value);"",""* value(s)"":"";AL;AK;AZ;AR;CA;CO;CT;DE;DC;FL;GA;HI;ID;IL;IN;IA;KS;KY;LA;ME;MD;MA;MI;MN;MS;MO;MT;NE;NV;NH;NJ;NM;NY;NC;ND;OH;OK;OR;PA;RI;SC;SD;TN;TX;UT;VT;VA;WA;WV;WI;WY;"",""name"":"""",""data-ga"":""dropdownChangeWithValue"",""* isenabled"":""true"",""style"":""outline: green solid 2px;"",""id"":""QuoteStateList"",""tag"":""select"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""class"":""modernDropdown"",""data-label"":""State Dropdown""}"
,"ForAgentsOnly.com - Home","sel Customer Summary","sel Customer Summary","Select","name","ctl00$MainContent$ddlPSAction","{""smart eye relative xpath"":""//select[@name= 'ctl00$MainContent$ddlPSAction']"",""smart eye relative xpath_1"":""//*[@id=\""ctl00_MainContent_ddlPSAction\""]"",""name"":""ctl00$MainContent$ddlPSAction"",""xpath by id"":""//*[@id=\""ctl00_MainContent_ddlPSAction\""]"",""id"":""ctl00_MainContent_ddlPSAction"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[2]/form[1]/fieldset[1]/div[2]/div[1]/select[1]"",""cssselector by id & class"":""#ctl00_MainContent_ddlPSAction""}","{""* alloptions"":""Customer Summary;Policy Summary;View Policy History;Proof of Insurance;Print Documents;Make a Payment;Returned Check;View Policy Claims;Cancel Policy;Payment Receipt;"",""* isdisplayed"":""true"",""size"":""1"",""* isselected"":""false"",""name"":""ctl00$MainContent$ddlPSAction"",""* isenabled"":""true"",""id"":""ctl00_MainContent_ddlPSAction"",""tag"":""select"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""class"":""form__select"",""* value(s)"":""customer_summary;policy_summary;view_policy_history;proof_of_insurance;print_documents;make_a_payment;returned_check;view_policy_claims;cancel_policy;payment_receipt;""}"
,"ForAgentsOnly.com - Home","sel Select One","sel Select One","Select","id","agentRewardsProducerName","{""smart eye relative xpath"":""//*[@id=\""agentRewardsProducerName\""]"",""xpath by id"":""//*[@id=\""agentRewardsProducerName\""]"",""id"":""agentRewardsProducerName"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[3]/article[1]/div[3]/form[1]/div[1]/select[1]"",""cssselector by id & class"":""#agentRewardsProducerName""}","{""* alloptions"":""Select One;Agent, Ytest;Arnold 2, Alex 3;Brand, Jim;Claiborne, Mark (...1111);Crane, Holli;Crow, Slow (...2222);Davidson, Andrea (...5555);Farlow, Debra;Mullen, Michael;O' Cuffman, Patty (...3333);Producer, Alex (...8979);Rambo, John;Rhodes, Francis;Rhodes, Sanford;Scott, Mr (...9999);Shinosky, Jason (...2121);Smith, John;Stark, Tony;Tester, Lady (...9991);Testing, Automationfive;Testing, Automationfour;Testing, Automationone;Testing, Automationthree;Testing, Automationtwo;Testing, James;"",""* isdisplayed"":""true"",""* isselected"":""false"",""* isenabled"":""true"",""id"":""agentRewardsProducerName"",""tag"":""select"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=641"",""class"":""form__select"",""* value(s)"":"";Agent, Ytest;Arnold 2, Alex 3;Brand, Jim;Claiborne, Mark (...1111);Crane, Holli;Crow, Slow (...2222);Davidson, Andrea (...5555);Farlow, Debra;Mullen, Michael;O' Cuffman, Patty (...3333);Producer, Alex (...8979);Rambo, John;Rhodes, Francis;Rhodes, Sanford;Scott, Mr (...9999);Shinosky, Jason (...2121);Smith, John;Stark, Tony;Tester, Lady (...9991);Testing, Automationfive;Testing, Automationfour;Testing, Automationone;Testing, Automationthree;Testing, Automationtwo;Testing, James;""}"
,"ForAgentsOnly.com - Home","SelectState","SelectState","Select","id","QuoteStateList","{""id"":""QuoteStateList""}","{}"
,"ForAgentsOnly.com - Home","txt .cls-1 {","txt .cls-1 {","Text Box","id","TxtFindPolicy","{""smart eye relative xpath"":""//*[@id=\""TxtFindPolicy\""]"",""xpath by id"":""//*[@id=\""TxtFindPolicy\""]"",""id"":""TxtFindPolicy"",""xpath by tag"":""/html[1]/body[1]/div[1]/header[1]/div[1]/div[2]/section[1]/div[1]/form[1]/div[1]/input[1]"",""cssselector by id & class"":""#TxtFindPolicy""}","{""* isdisplayed"":""true"",""data-at"":""header-search__input"",""* isselected"":""false"",""autocomplete"":""off"",""data-ga"":""clickNoRedirect"",""* isenabled"":""true"",""id"":""TxtFindPolicy"",""tag"":""input"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=611"",""type"":""search"",""class"":""header-search__input"",""data-label"":""header-search__input""}"
,"ForAgentsOnly.com - Home","txt Customer's last/business name or policy number:","txt Customer's last/business name or policy number:","Text Box","name","ctl00$MainContent$ps1_polNbrLnameSrch","{""smart eye relative xpath"":""//input[@name= 'ctl00$MainContent$ps1_polNbrLnameSrch']"",""smart eye relative xpath_1"":""//*[@id=\""ctl00_MainContent_ps1_polNbrLnameSrch\""]"",""name"":""ctl00$MainContent$ps1_polNbrLnameSrch"",""xpath by id"":""//*[@id=\""ctl00_MainContent_ps1_polNbrLnameSrch\""]"",""id"":""ctl00_MainContent_ps1_polNbrLnameSrch"",""xpath by tag"":""/html[1]/body[1]/div[1]/main[1]/section[1]/aside[1]/div[2]/form[1]/fieldset[1]/div[1]/input[1]"",""cssselector by id & class"":""#ctl00_MainContent_ps1_polNbrLnameSrch""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""name"":""ctl00$MainContent$ps1_polNbrLnameSrch"",""* isenabled"":""true"",""id"":""ctl00_MainContent_ps1_polNbrLnameSrch"",""onkeydown"":""ps_enter('ctl00_MainContent_ddlPSAction','ctl00_MainContent_ps1_polNbrLnameSrch',event)"",""tag"":""input"",""page url"":""https://75.qa.foragentsonly.com/home/?Welcome=611"",""type"":""text"",""class"":""form__input""}"
,"ForAgentsOnly.com Log In","Browser","Browser","Browser","NA","NA","{""na"":""NA""}","{}"
,"ForAgentsOnly.com Log In","btn Log In","btn Log In","Button","name","image1","{""smart eye relative xpath"":""//input[@type='submit' and @value='Log In' ]"",""smart eye relative xpath_1"":""//*[@id=\""image1\""]"",""name"":""image1"",""xpath by id"":""//*[@id=\""image1\""]"",""id"":""image1"",""xpath by tag"":""/html[1]/body[1]/div[1]/div[2]/div[1]/div[2]/div[1]/form[1]/div[3]/input[1]"",""cssselector by id & class"":""#image1""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""title"":""Go"",""type"":""submit"",""data-at"":""external-login-input-login-button"",""name"":""image1"",""* isenabled"":""true"",""style"":"""",""id"":""image1"",""tag"":""input"",""page url"":""https://75.qa.foragentsonly.com/login/"",""class"":""blueBtn base-btn loginButton"",""value"":""Log In""}"
,"ForAgentsOnly.com Log In","ele Welcome to ForAgentsOnly.com, available exclusively for Progressive agents. Managing customer policies has never been easier!","ele Welcome to ForAgentsOnly.com, available exclusively for Progressive agents. Managing customer policies has never been easier!","Web Element","id","loginMMA","{""smart eye relative xpath"":""//*[@id=\""loginMMA\""]"",""xpath by id"":""//*[@id=\""loginMMA\""]"",""id"":""loginMMA"",""xpath by tag"":""/html[1]/body[1]/div[1]/div[2]/div[1]"",""cssselector by id & class"":""#loginMMA""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""* isenabled"":""true"",""style"":"""",""id"":""loginMMA"",""tag"":""div"",""page url"":""https://75.qa.foragentsonly.com/login/"",""class"":""login-main-container cf""}"
,"ForAgentsOnly.com Log In","Pwd User Password","Pwd User Password","Password","name","password1","{""smart eye relative xpath"":""//input[@name= 'password1']"",""smart eye relative xpath_1"":""//*[@id=\""password1\""]"",""name"":""password1"",""xpath by id"":""//*[@id=\""password1\""]"",""id"":""password1"",""xpath by tag"":""/html[1]/body[1]/div[1]/div[2]/div[1]/div[2]/div[1]/form[1]/div[2]/input[1]"",""cssselector by id & class"":""#password1""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""autocomplete"":""off"",""maxlength"":""50"",""type"":""password"",""data-val"":""true"",""data-at"":""external-login-input-textbox-password"",""size"":""55"",""data-val-required"":""Please enter your Password."",""name"":""password1"",""* isenabled"":""true"",""style"":"""",""id"":""password1"",""tag"":""input"",""page url"":""https://75.qa.foragentsonly.com/login/"",""class"":""placeholderInput loginInput"",""value"":""""}"
,"ForAgentsOnly.com Log In","txt User ID / Agent Code","txt User ID / Agent Code","Text Box","name","user1","{""smart eye relative xpath"":""//input[@name= 'user1']"",""smart eye relative xpath_1"":""//*[@id=\""user1\""]"",""name"":""user1"",""xpath by id"":""//*[@id=\""user1\""]"",""id"":""user1"",""xpath by tag"":""/html[1]/body[1]/div[1]/div[2]/div[1]/div[2]/div[1]/form[1]/div[1]/input[1]"",""cssselector by id & class"":""#user1""}","{""* isdisplayed"":""true"",""* isselected"":""false"",""maxlength"":""50"",""type"":""text"",""data-val-regex"":""Please provide a valid User ID or Agent Code."",""required"":""true"",""data-val"":""true"",""data-at"":""external-login-input-textbox-user-id-agent"",""data-val-regex-pattern"":""^([a-zA-Z0-9~`!@#$^&*\\-_+=|\\\\/:;\""',.?]{6,30}\\s*)|([a-zA-Z0-9]{5}\\s*)$"",""size"":""55"",""data-val-required"":""Please provide a valid User ID or Agent Code."",""name"":""user1"",""* isenabled"":""true"",""style"":"""",""id"":""user1"",""tag"":""input"",""page url"":""https://75.qa.foragentsonly.com/login/"",""class"":""placeholderInput"",""value"":""""}"
,"ForAgentsOnly.com Log In","wait","wait","Web Element","NA","NA","{""na"":""NA""}","{}"
,"Generic","Generic","Generic","Excel","NA","NA","{""na"":""NA""}","{}"
,"Generic","Test","Test","Web Element","Xpath","//*[text()='test']","{""xpath"":""//*[text()='test']""}","{}"
,"Generic","URL","URL","Browser","NA","NA","{""na"":""NA""}","{}"
,"Generic","Wait","Wait","GENERIC","NA","NA","{""na"":""NA""}","{}"
,"OrangeHRM","Login_btn","Login_btn","Button","Xpath","//input[@id='btnLogin']","{""xpath"":""//input[@id='btnLogin']""}","{}"
,"OrangeHRM","Password","Password","Text Box","Xpath","//input[@id='txtPassword']","{""xpath"":""//input[@id='txtPassword']""}","{}"
,"OrangeHRM","UserName","UserName","Text Box","Xpath","//input[@id='txtUsername']","{""xpath"":""//input[@id='txtUsername']""}","{}"
,"Rates","ContinueToBuy","ContinueToBuy","Button","Xpath","//div[@id='body']/div[2]/div[4]/div/div[1]//span[@fieldref='Continue to Buy']","{""xpath"":""//div[@id='body']/div[2]/div[4]/div/div[1]//span[@fieldref='Continue to Buy']""}","{}"
,"Reusable Objects","BOI_CommercialAuto","[[REUSABLE]]","ReUsable","NA","BOI_CommercialAuto","{""na"":""BOI_CommercialAuto""}","{}"
,"Reusable Objects","Login Minnesota","[[REUSABLE]]","ReUsable","NA","Login","{""na"":""Login""}","{}"
,"VehicleInfo","AddVehicle","AddVehicle","Button","Xpath","//span[@fieldref='Add Vehicle']","{""xpath"":""//span[@fieldref='Add Vehicle']""}","{}"
,"VehicleInfo","AverageNumber","AverageNumber","Text Box","Xpath","//input[@fieldref='BCBTUVehQuestions.V02TripsPerDay']","{""xpath"":""//input[@fieldref='BCBTUVehQuestions.V02TripsPerDay']""}","{}"
,"VehicleInfo","Business&Personal","Business&Personal","Radio","Xpath","//label[text()='Business & Personal']//preceding-sibling::span","{""xpath"":""//label[text()='Business & Personal']//preceding-sibling::span""}","{}"
,"VehicleInfo","FarthestOneWayDistance","FarthestOneWayDistance","Text Box","Xpath","//input[@fieldref='RiskInput.Radius']","{""xpath"":""//input[@fieldref='RiskInput.Radius']""}","{}"
,"VehicleInfo","FarthestOneWayDistanceValue","FarthestOneWayDistanceValue","Web Element","Xpath","//li[contains(text(),'50 miles')]","{""xpath"":""//li[contains(text(),'50 miles')]""}","{}"
,"VehicleInfo","LookUpVIN","LookUpVIN","Button","Xpath","//span[text()='Lookup VIN']","{""xpath"":""//span[text()='Lookup VIN']""}","{}"
,"VehicleInfo","NoCoverage","NoCoverage","Web Element","Xpath","//label[text()='No']//preceding-sibling::span/input","{""xpath"":""//label[text()='No']//preceding-sibling::span/input""}","{}"
,"VehicleInfo","Own&doNotMakePayement","Own&doNotMakePayement","Web Element","Xpath","//li[contains(text(),'Own and do not make payment')]","{""xpath"":""//li[contains(text(),'Own and do not make payment')]""}","{}"
,"VehicleInfo","OwnorLease?","OwnorLease?","Text Box","Xpath","//input[@fieldref='RiskInput.OwnLeaseIndicator']","{""xpath"":""//input[@fieldref='RiskInput.OwnLeaseIndicator']""}","{}"
,"VehicleInfo","Save&Continue","Save&Continue","Button","Xpath","//div[@class='styleWithOutPanels']/div[3]/div[2]/div[5]//span[@fieldref='Save & Continue']","{""xpath"":""//div[@class='styleWithOutPanels']/div[3]/div[2]/div[5]//span[@fieldref='Save & Continue']""}","{}"
,"VehicleInfo","Save&Continue2","Save&Continue2","Button","Xpath","//div[@class='x_PaddingAbove']//span[text()='Save & Continue']","{""xpath"":""//div[@class='x_PaddingAbove']//span[text()='Save & Continue']""}","{}"
,"VehicleInfo","SelectCar","SelectCar","Link","linktext","{ds=y;VehicleType}","{""linktext"":""{ds=y;VehicleType}""}","{}"
,"VehicleInfo","VIN","VIN","Text Box","Xpath","//input[@fieldref='RiskInput.VIN']","{""xpath"":""//input[@fieldref='RiskInput.VIN']""}","{}"
